id,Associated Disease
3677,craniofacial dysplasia-short stature-ectodermal anomalies-intellectual disability syndrome
3678,Craniofacial ulnar renal syndrome
3679,craniofacial-deafness-hand syndrome
3680,craniofrontonasal syndrome
3681,craniolenticulosutural dysplasia
3682,craniometaphyseal dysplasia
3683,"craniometaphyseal dysplasia, autosomal dominant"
3684,"craniometaphyseal dysplasia, autosomal recessive"
3685,"Craniometaphyseal dysplasia, autosomal recessive type"
3686,CRANIOOSTEOARTHROPATHY
3687,craniopharyngioma
3688,"Craniopharyngioma, Child"
3689,craniorachischisis
3690,Cranioschisis
3691,craniosynostosis
3692,craniosynostosis 2
3693,craniosynostosis 4
3694,"craniosynostosis 5, susceptibility to"
3695,craniosynostosis 6
3696,craniosynostosis 7
3697,craniosynostosis and dental anomalies
3698,"Craniosynostosis, Type 2"
3699,Craving for alcohol
3700,"Creatine deficiency, X-linked"
3701,Creatine phosphokinase serum increased
3702,"creatine phosphokinase, elevated serum"
3703,creatine transporter deficiency
3704,Crescendo Transient Ischemic Attacks
3705,CREST syndrome
3706,Creutzfeldt Jacob disease
3707,Creutzfeldt-Jakob disease
3708,"Creutzfeldt-Jakob Disease, Familial"
3709,"Creutzfeldt-Jakob Disease, Heidenhain Variant"
3710,"Creutzfeldt-Jakob Disease, Sporadic"
3711,Cri-du-chat syndrome
3712,cribriform carcinoma
3713,cribriform carcinoma of breast
3714,Crigler-Najjar syndrome
3715,Crigler-Najjar syndrome type 1
3716,Crigler-Najjar syndrome type 2
3717,Crisponi syndrome
3718,Critical Illness
3719,critical illness polyneuropathy
3720,Crohn disease
3721,"CROHN DISEASE-ASSOCIATED GROWTH FAILURE, SUSCEPTIBILITY TO (finding)"
3722,Crohn ileitis
3723,Crohn's colitis
3724,Crohn's disease in remission
3725,Crohn's disease of large bowel
3726,Crohn's disease of the ileum
3727,Cronkhite-Canada syndrome
3728,Crouzon syndrome
3729,CROUZON SYNDROME WITH ACANTHOSIS NIGRICANS (disorder)
3730,Crouzon syndrome-acanthosis nigricans syndrome
3731,Crushing Skull Injury
3732,Cruveilhier-Baumgarten Syndrome
3733,cryohydrocytosis
3734,Cryopyrin associated periodic syndrome
3735,cryopyrin-associated periodic syndrome
3736,cryptococcosis
3737,Cryptogenic Chronic Hepatitis
3738,Cryptogenic Infantile Spasms
3739,cryptogenic multifocal ulcerous stenosing enteritis
3740,Cryptogenic Partial Complex Epilepsy
3741,Cryptogenic Tonic-Clonic Epilepsy
3742,cryptophthalmia
3743,Cryptophthalmos
3744,cryptorchidism
3745,cryptosporidiosis-chronic cholangitis-liver disease syndrome
3746,Curare Overdose
3747,Curling Ulcer
3748,Currarino triad
3749,curry-Jones syndrome
3750,Curvature of spine
3751,Cushing disease due to pituitary adenoma
3752,Cushing syndrome
3753,Cushing syndrome due to macronodular adrenal hyperplasia
3754,"CUSHING SYNDROME, ACTH-INDEPENDENT ADRENAL, SOMATIC"
3755,Cushing's syndrome
3756,cutaneous fibrous histiocytoma
3757,cutaneous leishmaniasis
3758,cutaneous lupus erythematosus
3759,cutaneous melanoma
3760,cutaneous neuroendocrine carcinoma
3761,cutaneous porphyria
3762,cutaneous solitary mastocytoma
3763,cutis laxa
3764,"cutis laxa with severe pulmonary, gastrointestinal and urinary anomalies"
3765,"cutis laxa, autosomal dominant 1"
3766,"cutis laxa, autosomal dominant 2"
3767,"cutis laxa, autosomal dominant 3"
3768,"Cutis laxa, autosomal recessive"
3769,"cutis laxa, autosomal recessive, type 1A"
3770,"cutis laxa, autosomal recessive, type 1B"
3771,"Cutis Laxa, Autosomal Recessive, Type I"
3772,"Cutis Laxa, Autosomal Recessive, Type IIA"
3773,"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIC"
3774,"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IID"
3775,"Cutis laxa, recessive"
3776,"Cutis laxa, recessive, type I"
3777,"Cutis laxa, x-linked"
3778,Cyanosis
3779,"cyanosis, transient neonatal"
3780,Cyclic Hematopoesis
3781,cyclic hematopoiesis
3782,Cyclic neutropenia
3783,Cyclitis
3784,cycloplegia
3785,Cyst
3786,cystadenoma
3787,cystathioninuria
3788,Cystic Aponeurosis Tumor
3789,cystic fibrosis
3790,CYSTIC FIBROSIS MODIFIER 1
3791,Cystic fibrosis of the lung
3792,"CYSTIC FIBROSIS, MODIFIER OF, 1"
3793,cystic kidney disease
3794,Cystic Kidney Disease with Ventriculomegaly
3795,Cystic Kidney Diseases
3796,cystic leukoencephalopathy without megalencephaly
3797,cystinosis
3798,"CYSTINOSIS, ATYPICAL NEPHROPATHIC (disorder)"
3799,"Cystinosis, Infantile Nephropathic"
3800,cystinuria
3801,cystinuria type B
3802,"Cystinuria, Type A"
3803,"Cystinuria, Type A-B"
3804,cystitis
3805,cystoid macular edema
3806,Cysts
3807,Cytochrome P450 oxidoreductase deficiency
3808,cytochrome-c oxidase deficiency disease
3809,Cytokine release syndrome induced by tumor-specific T-cell infusion therapy
3810,cytomegalic inclusion disease
3811,cytomegalovirus infection
3812,Cytopenia
3813,Cytotoxic Brain Edema
3814,Cytotoxic Cerebral Edema
3815,"Czech dysplasia, metatarsal type"
3816,D-2-hydroxyglutaric aciduria
3817,D-2-hydroxyglutaric aciduria 1
3818,d-2-hydroxyglutaric aciduria 2
3819,d-bifunctional protein deficiency
3820,D-glyceric aciduria
3821,"D,L-2-hydroxyglutaric aciduria"
3822,dacryocystitis
3823,Dandy-Walker syndrome
3824,"Dandy-Walker Syndrome, Familial"
3825,Danon disease
3826,Darier disease
3827,"Darier Disease, Acral Hemorrhagic Type"
3828,"Darier Disease, Segmental"
3829,Darkness Tremor
3830,DDOST-CDG
3831,DDX41-related hematologic malignancy predisposition syndrome
3832,de Barsy syndrome
3833,de Sanctis-Cacchione syndrome
3834,De Toni-Debre-Fanconi Syndrome
3835,De Vaal's syndrome
3836,"deaf blind hypopigmentation syndrome, Yemenite type"
3837,Deaf Mutism
3838,Deafness
3839,DEAFNESS AND MYOPIA
3840,deafness dystonia syndrome
3841,Deafness enamel hypoplasia nail defects
3842,"deafness with labyrinthine aplasia, microtia, and microdontia"
3843,deafness-encephaloneuropathy-obesity-valvulopathy syndrome
3844,deafness-infertility syndrome
3845,"deafness-intellectual disability, Martin-Probst type syndrome"
3846,deafness-lymphedema-leukemia syndrome
3847,"Deafness, Acquired"
3848,"DEAFNESS, AUTOSOMAL DOMINANT 17"
3849,"DEAFNESS, AUTOSOMAL DOMINANT 22, WITH HYPERTROPHIC CARDIOMYOPATHY"
3850,"deafness, autosomal dominant 34, with or without inflammation"
3851,"deafness, autosomal dominant 39, with dentinogenesis imperfecta 1"
3852,"deafness, autosomal dominant 71"
3853,"deafness, autosomal dominant 72"
3854,"deafness, autosomal dominant 73"
3855,"Deafness, autosomal dominant nonsyndromic sensorineural 17"
3856,"Deafness, autosomal dominant nonsyndromic sensorineural 22"
3857,"DEAFNESS, AUTOSOMAL DOMINANT, WITHOUT VESTIBULAR INVOLVEMENT"
3858,"deafness, autosomal recessive"
3859,"Deafness, Autosomal Recessive 10"
3860,"DEAFNESS, AUTOSOMAL RECESSIVE 105"
3861,"deafness, autosomal recessive 106"
3862,"deafness, autosomal recessive 107"
3863,"deafness, autosomal recessive 108"
3864,"deafness, autosomal recessive 109"
3865,"DEAFNESS, AUTOSOMAL RECESSIVE 1A (disorder)"
3866,"DEAFNESS, AUTOSOMAL RECESSIVE 36, WITH OR WITHOUT VESTIBULAR INVOLVEMENT"
3867,"DEAFNESS, AUTOSOMAL RECESSIVE 4, WITH ENLARGED VESTIBULAR AQUEDUCT"
3868,"deafness, autosomal recessive 57"
3869,"Deafness, Autosomal Recessive 9"
3870,"DEAFNESS, AUTOSOMAL RECESSIVE 93"
3871,"Deafness, Cochlear, with Myopia and Intellectual Impairment"
3872,"deafness, congenital heart defects, and posterior embryotoxon"
3873,"Deafness, congenital onychodystrophy, recessive form"
3874,"Deafness, Congenital, and Onychodystrophy, Autosomal Dominant"
3875,"DEAFNESS, DIGENIC, GJB2/GJB3 (disorder)"
3876,"DEAFNESS, DIGENIC, GJB2/GJB6 (disorder)"
3877,"DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION"
3878,"deafness, nonsyndromic, modifier 1"
3879,"Deafness, Sensorineural, And Male Infertility"
3880,"deafness, sensorineural, autosomal-mitochondrial type"
3881,"Deafness, Sudden"
3882,"deafness, X-linked 1"
3883,"deafness, X-linked 4"
3884,"deafness, X-linked 6"
3885,Death
3886,"Death, Sudden"
3887,"Death, Sudden, Cardiac"
3888,Decompensated cardiac failure
3889,Decompensated chronic heart failure
3890,Decreased respiratory function
3891,Dedifferentiated liposarcoma
3892,Deep mycosis
3893,Deep Vein Thrombosis
3894,Deep Vein Thrombosis with Pulmonary Embolism
3895,Deep venous thrombosis
3896,"DEEP VENOUS THROMBOSIS, PROTECTION AGAINST"
3897,Deficiency Diseases
3898,deficiency in anterior pituitary function - variable immunodeficiency syndrome
3899,Deficiency of 3-oxoacid CoA-transferase
3900,Deficiency of acetyl-CoA acetyltransferase
3901,Deficiency of aromatic-L-amino-acid decarboxylase
3902,Deficiency of butyryl-CoA dehydrogenase
3903,Deficiency of glycerate kinase
3904,Deficiency of glycerol kinase
3905,Deficiency of mevalonate kinase
3906,Deficiency of phosphoglycerate kinase
3907,Deficiency of Platelet Glycoprotein 1b
3908,Deficiency of testosterone biosynthesis
3909,Deficiency of Uroporphyrinogen III Synthase
3910,"Deficiency, Hexosediphosphatase"
3911,"Degenerative Diseases, Central Nervous System"
3912,"Degenerative Diseases, Spinal Cord"
3913,Degenerative Intervertebral Discs
3914,degenerative myopia
3915,Deglutition Disorders
3916,dehydrated hereditary stomatocytosis 2
3917,dehydrated hereditary stomatocytosis with or without pseudohyperkalemia and/or perinatal edema
3918,"Dehydrated Hereditary Stomatocytosis, Pseudohyperkalemia, and Perinatal Edema"
3919,Dehydration
3920,Dejerine-Lichtheim Phenomenon
3921,Delayed Emergence from Anesthesia
3922,Delayed Puberty
3923,"delayed sleep phase syndrome, susceptibility to"
3924,delirium
3925,"Delirium, Dementia, Amnestic, Cognitive Disorders"
3926,Delta-Beta Thalassemia
3927,delta-beta-thalassemia
3928,delusional disorder
3929,dementia
3930,Dementia associated with Parkinson's Disease
3931,demyelinating disease
3932,Demyelination
3933,DEND syndrome
3934,dengue disease
3935,Dengue hemorrhagic fever
3936,dengue shock syndrome
3937,dense deposit disease
3938,Dent disease
3939,Dent disease 1
3940,Dent disease type 1
3941,Dent disease type 2
3942,dental abscess
3943,dental caries
3944,Dental Diseases
3945,dental enamel hypoplasia
3946,Dental Pulp Stone
3947,dentatorubral-pallidoluysian atrophy
3948,"Dentin dyspalsia, Shields type 2"
3949,dentin dysplasia
3950,dentin dysplasia type I
3951,dentin dysplasia type II
3952,dentinogenesis imperfecta
3953,Dentinogenesis imperfecta - Shield's type III (disorder)
3954,dentinogenesis imperfecta type 2
3955,dentinogenesis imperfecta type 3
3956,Dentinogenesis imperfecta without osteogenesis imperfecta
3957,Denys-Drash syndrome
3958,Depressed mood
3959,Depression in children
3960,Depression Treatment Adjunct
3961,"Depression, Bipolar"
3962,"Depression, Neurotic"
3963,"Depression, Postpartum"
3964,depressive disorder
3965,"Depressive Disorder, Treatment-Resistant"
3966,"Depressive episode, unspecified"
3967,Depressive Symptoms
3968,Depressive Syndrome
3969,Dermal Necrosis
3970,dermatitis
3971,dermatitis herpetiformis
3972,"dermatitis, atopic"
3973,"Dermato-cardio-skeletal syndrome, Borrone type"
3974,Dermatofibrosarcoma
3975,dermatofibrosarcoma protuberans
3976,"Dermatofibrosarcoma Protuberans, Myxoid"
3977,Dermatofibrosis lenticularis disseminata
3978,Dermatologic disorders
3979,dermatomyositis
3980,"Dermatomyositis, Childhood Type"
3981,dermatopathia pigmentosa reticularis
3982,dermatophytosis
3983,dermatophytosis of groin and perianal area
3984,dermatophytosis of scalp or beard
3985,Desbuquois dysplasia
3986,Desbuquois dysplasia 1
3987,Desbuquois dysplasia 2
3988,"DESBUQUOIS DYSPLASIA, KIM VARIANT"
3989,"Desmoid disease, hereditary"
3990,desmoid tumor
3991,Desmoid Tumor Caused By Somatic Mutation
3992,desmoplastic small round cell tumor
3993,desmoplastic/nodular medulloblastoma
3994,desmosterolosis
3995,desquamative interstitial pneumonia
3996,Developmental absence of tooth
3997,Developmental Academic Disorder
3998,developmental and epileptic encephalopathy
3999,"developmental and epileptic encephalopathy, 1"
4000,"developmental and epileptic encephalopathy, 11"
4001,"developmental and epileptic encephalopathy, 12"
4002,"developmental and epileptic encephalopathy, 13"
4003,"developmental and epileptic encephalopathy, 14"
4004,"developmental and epileptic encephalopathy, 15"
4005,"developmental and epileptic encephalopathy, 16"
4006,"developmental and epileptic encephalopathy, 17"
4007,"developmental and epileptic encephalopathy, 18"
4008,"developmental and epileptic encephalopathy, 19"
4009,"developmental and epileptic encephalopathy, 2"
4010,"developmental and epileptic encephalopathy, 21"
4011,"developmental and epileptic encephalopathy, 23"
4012,"developmental and epileptic encephalopathy, 24"
4013,"developmental and epileptic encephalopathy, 25"
4014,"developmental and epileptic encephalopathy, 26"
4015,"developmental and epileptic encephalopathy, 27"
4016,"developmental and epileptic encephalopathy, 28"
4017,"developmental and epileptic encephalopathy, 29"
4018,"developmental and epileptic encephalopathy, 3"
4019,"developmental and epileptic encephalopathy, 30"
4020,"developmental and epileptic encephalopathy, 31"
4021,"developmental and epileptic encephalopathy, 32"
4022,"developmental and epileptic encephalopathy, 33"
4023,"developmental and epileptic encephalopathy, 34"
4024,"developmental and epileptic encephalopathy, 35"
4025,"developmental and epileptic encephalopathy, 36"
4026,"developmental and epileptic encephalopathy, 37"
4027,"developmental and epileptic encephalopathy, 38"
4028,"developmental and epileptic encephalopathy, 39"
4029,"developmental and epileptic encephalopathy, 4"
4030,"developmental and epileptic encephalopathy, 40"
4031,"developmental and epileptic encephalopathy, 41"
4032,"developmental and epileptic encephalopathy, 42"
4033,"developmental and epileptic encephalopathy, 43"
4034,"developmental and epileptic encephalopathy, 44"
4035,"developmental and epileptic encephalopathy, 45"
4036,"developmental and epileptic encephalopathy, 46"
4037,"developmental and epileptic encephalopathy, 47"
4038,"developmental and epileptic encephalopathy, 48"
4039,"developmental and epileptic encephalopathy, 49"
4040,"developmental and epileptic encephalopathy, 5"
4041,"developmental and epileptic encephalopathy, 50"
4042,"developmental and epileptic encephalopathy, 51"
4043,"developmental and epileptic encephalopathy, 52"
4044,"developmental and epileptic encephalopathy, 53"
4045,"developmental and epileptic encephalopathy, 54"
4046,"developmental and epileptic encephalopathy, 55"
4047,"developmental and epileptic encephalopathy, 56"
4048,"developmental and epileptic encephalopathy, 57"
4049,"developmental and epileptic encephalopathy, 58"
4050,"developmental and epileptic encephalopathy, 59"
4051,"developmental and epileptic encephalopathy, 6"
4052,"developmental and epileptic encephalopathy, 60"
4053,"developmental and epileptic encephalopathy, 61"
4054,"developmental and epileptic encephalopathy, 62"
4055,"developmental and epileptic encephalopathy, 63"
4056,"developmental and epileptic encephalopathy, 64"
4057,"developmental and epileptic encephalopathy, 65"
4058,"developmental and epileptic encephalopathy, 7"
4059,"developmental and epileptic encephalopathy, 8"
4060,"developmental and epileptic encephalopathy, 9"
4061,developmental and speech delay due to SOX5 deficiency
4062,developmental coordination disorder
4063,developmental delay and seizures with or without movement abnormalities
4064,developmental delay with autism spectrum disorder and gait instability
4065,"developmental delay, intellectual disability, obesity, and dysmorphic features"
4066,Developmental Disabilities
4067,developmental disability
4068,developmental dysplasia of the hip 1
4069,developmental malformations-deafness-dystonia syndrome
4070,Developmental Porencephaly
4071,Developmental Psychomotor Disorders
4072,Developmental reading disorder
4073,dextro-looped transposition of the great arteries 1
4074,dextro-looped transposition of the great arteries 3
4075,dextrocardia
4076,Diabetes Complications
4077,diabetes insipidus
4078,"diabetes insipidus, nephrogenic, autosomal"
4079,"diabetes insipidus, nephrogenic, X-linked"
4080,diabetes mellitus
4081,Diabetes mellitus autosomal dominant type II (disorder)
4082,"Diabetes Mellitus, Experimental"
4083,"Diabetes Mellitus, Insulin-Dependent"
4084,"Diabetes Mellitus, Insulin-Resistant, with Acanthosis Nigricans"
4085,"Diabetes Mellitus, Ketosis-Prone"
4086,"Diabetes Mellitus, Non-Insulin-Dependent"
4087,"diabetes mellitus, noninsulin-dependent, 1"
4088,"diabetes mellitus, noninsulin-dependent, 5"
4089,"Diabetes Mellitus, Permanent Neonatal"
4090,"DIABETES MELLITUS, PERMANENT NEONATAL, WITH NEUROLOGIC FEATURES"
4091,"diabetes mellitus, transient neonatal, 1"
4092,"diabetes mellitus, transient neonatal, 2"
4093,"diabetes mellitus, transient neonatal, 3"
4094,"DIABETES MELLITUS, TRANSIENT NEONATAL, 3 (disorder)"
4095,"DIABETES MELLITUS, TYPE 2, PROTECTION AGAINST"
4096,"Diabetes, Autoimmune"
4097,Diabetic Amyotrophy
4098,Diabetic Asymmetric Polyneuropathy
4099,diabetic autonomic neuropathy
4100,Diabetic Cardiomyopathies
4101,Diabetic complication
4102,Diabetic dyslipidemia associated with type 2 diabetes mellitus
4103,Diabetic Foot Infection
4104,Diabetic gastroparesis
4105,diabetic ketoacidosis
4106,diabetic kidney disease
4107,diabetic macular edema
4108,Diabetic Mononeuropathy
4109,Diabetic Nephropathy
4110,Diabetic Neuralgia
4111,diabetic neuropathy
4112,diabetic peripheral angiopathy
4113,Diabetic peripheral neuropathy
4114,diabetic polyneuropathy
4115,Diabetic renal disease
4116,diabetic retinopathy
4117,Diagnosis of Hypercortisolism
4118,"Diagnosis, Psychiatric"
4119,Diagnostic aid
4120,Diagnostic Test for Asthma
4121,Diagnostic Test for Cushing's Syndrome
4122,Diagnostic Test for Gonadotropin Deficiency
4123,Diagnostic Test for Growth Hormone Secretion
4124,Diagnostic Test for Myasthenia Gravis
4125,Diagnostic Test for Pancreatic Islet Cell Adenoma
4126,Diagnostic Test for Pheochromocytoma
4127,Diagnostic Test for Primary Aldosteronism
4128,Diagnostic Test for Secondary Adrenocortical Insufficiency
4129,Diagnostic Test for Thyroid Dysfunction
4130,Diamond-Blackfan anemia
4131,Diamond-Blackfan anemia 1
4132,Diamond-Blackfan anemia 10
4133,Diamond-Blackfan anemia 11
4134,Diamond-Blackfan anemia 12
4135,Diamond-Blackfan anemia 13
4136,Diamond-Blackfan anemia 14 with mandibulofacial dysostosis
4137,Diamond-Blackfan anemia 15 with mandibulofacial dysostosis
4138,Diamond-Blackfan anemia 16
4139,Diamond-Blackfan anemia 17
4140,Diamond-Blackfan anemia 3
4141,Diamond-Blackfan anemia 4
4142,Diamond-Blackfan anemia 5
4143,Diamond-Blackfan anemia 6
4144,Diamond-Blackfan anemia 7
4145,Diamond-Blackfan anemia 8
4146,Diamond-Blackfan anemia 9
4147,Diamond-Blackfan anemia-like
4148,Diaper rash
4149,diaphanospondylodysostosis
4150,Diaphragmatic Hernia
4151,diaphragmatic hernia 3
4152,Diaphyseal medullary stenosis with bone malignancy
4153,Diaphyseal medullary stenosis with malignant fibrous histiocytoma
4154,diaphyseal medullary stenosis-bone malignancy syndrome
4155,Diarrhea
4156,"Diarrhea 3, Secretory Sodium, Congenital"
4157,"Diarrhea 3, Secretory Sodium, Congenital, Syndromic"
4158,Diarrhea from Pancreatic VIPoma
4159,Diarrhea Secondary to Inflammatory Bowel Disease
4160,diarrhea-vomiting due to trehalase deficiency
4161,diarrheal disease
4162,Dias-Logan syndrome
4163,diastematomyelia
4164,diastrophic dysplasia
4165,dicarboxylic aminoaciduria
4166,diencephalic-mesencephalic junction dysplasia syndrome 1
4167,Difficulty passing urine
4168,diffuse astrocytoma
4169,diffuse cerebral and cerebellar atrophy - intractable seizures - progressive microcephaly syndrome
4170,diffuse cutaneous systemic sclerosis
4171,diffuse large B-cell lymphoma
4172,Diffuse large B-cell lymphoma refractory
4173,Diffuse Lewy Body Disease with Gaze Palsy
4174,Diffuse mesangial sclerosis (disorder)
4175,Diffuse Mixed-Cell Lymphoma
4176,"Diffuse non-Hodgkin's lymphoma, large cell"
4177,diffuse nonepidermolytic palmoplantar keratoderma
4178,diffuse palmoplantar keratoderma
4179,"Diffuse palmoplantar keratoderma, Bothnian type"
4180,diffuse panbronchiolitis
4181,Diffuse Proliferative Lupus Nephritis
4182,diffuse scleroderma
4183,DiGeorge syndrome
4184,Digestive Epilepsy
4185,digestive system cancer
4186,digestive system disease
4187,Digestive System Neoplasms
4188,digestive system neuroendocrine neoplasm
4189,Digitorenocerebral Syndrome
4190,digitotalar dysmorphism
4191,dihydropteridine reductase deficiency
4192,Dihydropyrimidinase Deficiency
4193,dihydropyrimidine dehydrogenase deficiency
4194,dihydropyrimidinuria
4195,dilated cardiomyopathy
4196,dilated cardiomyopathy 1A
4197,dilated cardiomyopathy 1AA
4198,dilated cardiomyopathy 1BB
4199,dilated cardiomyopathy 1C
4200,dilated cardiomyopathy 1CC
4201,dilated cardiomyopathy 1D
4202,dilated cardiomyopathy 1DD
4203,dilated cardiomyopathy 1E
4204,dilated cardiomyopathy 1EE
4205,dilated cardiomyopathy 1FF
4206,dilated cardiomyopathy 1G
4207,dilated cardiomyopathy 1GG
4208,dilated cardiomyopathy 1HH
4209,dilated cardiomyopathy 1I
4210,dilated cardiomyopathy 1II
4211,dilated cardiomyopathy 1J
4212,dilated cardiomyopathy 1JJ
4213,dilated cardiomyopathy 1KK
4214,dilated cardiomyopathy 1L
4215,dilated cardiomyopathy 1M
4216,dilated cardiomyopathy 1NN
4217,dilated cardiomyopathy 1O
4218,dilated cardiomyopathy 1P
4219,dilated cardiomyopathy 1R
4220,dilated cardiomyopathy 1S
4221,dilated cardiomyopathy 1T
4222,dilated cardiomyopathy 1U
4223,dilated cardiomyopathy 1V
4224,dilated cardiomyopathy 1W
4225,dilated cardiomyopathy 1X
4226,dilated cardiomyopathy 1Y
4227,dilated cardiomyopathy 1Z
4228,dilated cardiomyopathy 2A
4229,dilated cardiomyopathy 2B
4230,dilated cardiomyopathy 3B
4231,dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome
4232,Dilated pupil
4233,dimethylglycine dehydrogenase deficiency
4234,Diphyllobothrium Infections
4235,Diplegic Infantile Cerebral Palsy
4236,"Direct Hyperbilirubinemia, Neonatal"
4237,disappearing bone disease
4238,Discoid lupus erythematosus
4239,Disease Exacerbation
4240,"Disease Models, Animal"
4241,disease of ear
4242,disease of pilosebaceous unit
4243,Disease Progression
4244,disease susceptibility
4245,disorder of glutamate decarboxylase
4246,Disorder of keratinization
4247,disorder of methionine catabolism
4248,Disorders of initiating and maintaining sleep
4249,Disorders of Sex Development
4250,Disruptive Behavior Disorder
4251,"Disruptive, Impulse Control, and Conduct Disorders"
4252,Dissection of aorta
4253,"Dissection, Blood Vessel"
4254,Disseminated candidiasis
4255,Disseminated Gonococcal Infection
4256,disseminated intravascular coagulation
4257,disseminated superficial actinic porokeratosis
4258,dissociated nystagmus
4259,dissociative amnesia
4260,distal 10q deletion syndrome
4261,distal 16p11.2 microdeletion syndrome
4262,distal arthrogryposis
4263,Distal arthrogryposis type 1
4264,Distal arthrogryposis type 2B
4265,distal arthrogryposis type 2B1
4266,Distal arthrogryposis type 3
4267,distal arthrogryposis type 5D
4268,Distal hereditary motor neuronopathy type 5
4269,"Distal Hereditary Motor Neuropathy, Type II"
4270,distal monosomy 1q
4271,distal myopathy
4272,distal myopathy with anterior tibial onset
4273,distal myopathy with posterior leg and anterior hand involvement
4274,"Distal myopathy, Nonaka type"
4275,"distal myopathy, Tateyama type"
4276,"distal myopathy, Welander type"
4277,distal renal tubular acidosis
4278,Distal Spinal Muscular Atrophy
4279,Distorted hearing
4280,Disturbance in mood
4281,Diverticular Diseases
4282,diverticulitis
4283,DK1-CDG
4284,DNA ligase IV deficiency
4285,DNA repair disease
4286,DNA Repair-Deficiency
4287,DNA Repair-Deficiency Disorders
4288,DOCK2 deficiency
4289,dog disease
4290,DOID:0081022
4291,DOID:0081042
4292,DOID:0081044
4293,DOID:0081045
4294,DOID:0081048
4295,DOID:0081055
4296,DOID:0081060
4297,DOID:0081062
4298,DOID:0081063
4299,DOID:0112322
4300,DOID:0112328
4301,DOID:0112334
4302,DOID:0112339
4303,DOID:0112341
4304,DOID:0112360
4305,DOID:0112364
4306,DOID:0112365
4307,DOID:11575
4308,DOID:12252
4309,DOID:14313
4310,DOID:2939
4311,DOID:3394
4312,DOID:9357
4313,dominant beta-thalassemia
4314,"Dominant dystrophic epidermolysis bullosa, albopapular type (disorder)"
4315,Donnai-Barrow syndrome
4316,Donohue syndrome
4317,DOORS syndrome
4318,dopa-responsive dystonia
4319,dopa-responsive dystonia due to sepiapterin reductase deficiency
4320,dopamine beta-hydroxylase deficiency
4321,Dorfman-Chanarin disease
4322,double outlet right ventricle
4323,"Double Outlet Right Ventricle, Noncommitted VSD"
4324,"Double Outlet Right Ventricle, Subaortic VSD"
4325,"Double Outlet Right Ventricle, Subpulmonary VSD"
4326,Dowling-Degos disease
4327,Dowling-Degos disease 1
4328,Dowling-Degos disease 2
4329,Dowling-Degos disease 4
4330,Down syndrome
4331,"Down Syndrome, Partial Trisomy 21"
4332,Doyne honeycomb retinal dystrophy
4333,DPAGT1-CDG
4334,DPM3-CDG
4335,Dravet syndrome
4336,Dressing Apraxia
4337,Drooling
4338,Drug abuse
4339,drug allergy
4340,drug dependence
4341,Drug Eruptions
4342,Drug habituation
4343,"Drug Metabolism, Poor, CYP2C19-Related"
4344,"Drug Metabolism, Poor, Cyp2D6-Related"
4345,Drug Overdose
4346,drug psychosis
4347,Drug toxicity
4348,Drug Use Disorders
4349,Drug Withdrawal Symptoms
4350,drug- or toxin-induced pulmonary arterial hypertension
4351,Drug-Induced Acute Liver Injury
4352,Drug-induced depressive state
4353,drug-induced dyskinesia
4354,drug-induced hepatitis
4355,Drug-Induced Liver Disease
4356,drug-induced liver injury
4357,Drug-induced mucositis
4358,Drug-induced osteoporosis
4359,Drug-induced paranoid state
4360,Drug-Induced Stevens Johnson Syndrome
4361,Drug-Related Side Effects and Adverse Reactions
4362,"Drusen, Radial, Autosomal Dominant"
4363,dry eye syndrome
4364,Duane retraction syndrome
4365,Duane retraction syndrome 2
4366,Duane retraction syndrome 3 with or without deafness
4367,"Duane Retraction Syndrome, Type 2"
4368,"Duane Retraction Syndrome, Type 3"
4369,Duane syndrome type 1
4370,Duane-radial ray syndrome
4371,Dubin-Johnson syndrome
4372,Dubowitz syndrome
4373,Duchenne and Becker muscular dystrophy
4374,Duchenne muscular dystrophy
4375,Ductal Breast Carcinoma
4376,ductal breast carcinoma in situ
4377,Ductal Carcinoma
4378,duodenal ulcer
4379,Duodenal Ulcer due to H. Pylori
4380,duplication/inversion 15q11
4381,Dursun Syndrome
4382,Dwarfism
4383,Dwarfism tall vertebrae
4384,Dyggve-Melchior-Clausen disease
4385,Dyggve-Melchior-Clausen syndrome
4386,"Dyggve-Melchior-Clausen syndrome, X-linked"
4387,DYRK1A-related intellectual disability syndrome
4388,Dysacusis
4389,Dysarthria
4390,"Dysarthria, Flaccid"
4391,"Dysarthria, Guttural"
4392,"Dysarthria, Mixed"
4393,"Dysarthria, Scanning"
4394,"Dysarthria, Spastic"
4395,dysautonomia
4396,Dysbetalipoproteinemia due to Defect in Apolipoprotein E-d
4397,Dyschezia
4398,Dyschondroplasias
4399,dyschromatosis symmetrica hereditaria
4400,dyschromatosis universalis hereditaria
4401,dyschromatosis universalis hereditaria 1
4402,dyschromatosis universalis hereditaria 3
4403,dysembryoplastic neuroepithelial tumor
4404,Dysequilibrium syndrome
4405,Dyserythropoietic Anemia with Thrombocytopenia
4406,Dysesthesia
4407,"Dysfibrinogenemia, Congenital"
4408,Dysfunctional uterine bleeding
4409,dysgammaglobulinemia
