Primary Table	Column name	Column description	Data Type
tinx_disease	score	TIN-X disease novelty score (Cannon et al., 2017)	decimal(34,16)
tinx_importance	doid	Foreign key to column doid in table tinx_disease.	varchar(20)
tinx_importance	protein_id	Foreign key to column id in table protein.	int(11)
tinx_importance	score	TIN-X importance score (Cannon et al., 2017)	decimal(34,16)
tinx_novelty	id	"TCRD identifier for the TIN-X target novelty table	"	int(11)
tinx_novelty	protein_id	Foreign key to column id in table protein.	int(11)
tinx_novelty	score	TIN-X target novelty score (Cannon et al., 2017)	decimal(34,16)
tissue	id	TCRD identifier and Primary key	int(11)
tissue	name	Name of the tissue	varchar(255)
uberon	uid	Uber-anatomy ontology (Uberon) entity identifier	varchar(30)
uberon	name	Uberon entity name	text
uberon	def	Uberon entity definition	text
uberon	comment	Uberon entity comment	text
uberon_parent	uid	Foreign key to column uid in table uberon.	varchar(30)
uberon_parent	parent_id	Foreign key to column uid in table uberon.	varchar(30)
uberon_xref	uid	Uberon ID to be mapped to an external ontology - Foreign key to column uid in table uberon.	varchar(30)
uberon_xref	db	External ontology	varchar(24)
uberon_xref	value	External ontology term ID	varchar(255)
viral_ppi	id	TCRD identifier for the viral_ppi table, storing experimental and inferred interactions between pathogen and human proteins	int(11)
viral_ppi	viral_protein_id	Foreign key to column id in table viral_protein.	int(11)
viral_ppi	protein_id	Foreign key to column id in table protein.	int(11)
viral_ppi	dataSource	Data source for pathogen-human proteins ininteraction	varchar(20)
viral_ppi	finalLR	Combined likelihood ratio of interaction	decimal(20,12)
viral_ppi	pdbIDs	PDB structure ID(s) of pathogen-human protein complexes	varchar(128)
viral_ppi	highConfidence	"Binary flag for the level of interaction confidence	"	tinyint(4)
viral_protein	id	TCRD identifier for the viral protein table	int(11)
viral_protein	name	Viral protein name	varchar(128)
viral_protein	ncbi	Viral protein NCBI ID	varchar(128)
viral_protein	virus_id	Foreign key to column virusTaxid in table virus.	varchar(16)
virus	virusTaxid	Virus taxonomy ID	varchar(16)
virus	nucleic1	Level 1 in the Baltimore virus classification system (https://viralzone.expasy.org/254)	varchar(128)
virus	nucleic2	Level 2 in the Baltimore virus classification system (https://viralzone.expasy.org/254)	varchar(128)
virus	order	Virus order in the official virus taxonomy developed by the International Committee on Taxonomy of Viruses (ICTV)	varchar(128)
virus	family	Virus family	varchar(128)
virus	subfamily	Virus subfamily	varchar(128)
virus	genus	Virus genus	varchar(128)
virus	species	Virus species	varchar(128)
virus	name	Virus strain	varchar(128)
word_count	word	TCRD identifier and Primary key	varchar(128)
word_count	count	Indicates the count of the word	int(11)
xref	id	TCRD identifier for the external references table	int(11)
xref	xtype	Foreign key to column name in table xref_type	varchar(255)
xref	target_id	Foreign key to column id in table target	int(11)
xref	protein_id	Foreign key to column id in table protein.	int(11)
xref	nucleic_acid_id	Empty (reserved for future use)	int(11)
xref	value	External reference value	varchar(255)
xref	xtra	Additional info about the xref value	varchar(255)
xref	dataset_id	Foreign key to column id in table dataset.	int(11)
xref	nhprotein_id	Foreign key to column id in table nhprotein.	int(11)
xref_type	name	External reference resource name	varchar(255)
xref_type	description	External reference resource description	text
xref_type	url	Empty (reserved for future use)	text
xref_type	eg_q_url	Empty (reserved for future use)	text
